time_s,altitude_m,airspeed_ms,alpha_deg,pitch_deg,roll_deg,throttle,lift_N,drag_N,pos_x,pos_y,pos_z,q_bar_Pa
40.10,298.33,39.945,7.798,-7.784,3.642,0.8128,1919.08,353.34,644.5,1447.8,298.3,949.59
40.20,298.33,39.943,7.796,-7.783,3.637,0.8129,1918.56,353.20,647.4,1450.6,298.3,949.51
40.30,298.33,39.941,7.795,-7.782,3.632,0.8130,1918.09,353.08,650.2,1453.4,298.3,949.43
40.40,298.33,39.940,7.794,-7.781,3.627,0.8130,1917.69,352.97,653.1,1456.2,298.3,949.36
40.50,298.33,39.938,7.793,-7.780,3.622,0.8131,1917.36,352.89,656.0,1459.0,298.3,949.29
40.60,298.33,39.937,7.793,-7.778,3.617,0.8131,1917.08,352.82,658.8,1461.8,298.3,949.22
40.70,298.33,39.936,7.795,-7.780,3.611,0.8132,1917.39,352.93,661.7,1464.6,298.3,949.16
40.80,298.33,39.934,7.797,-7.782,3.606,0.8132,1917.84,353.08,664.6,1467.3,298.3,949.09
40.90,298.33,39.933,7.799,-7.784,3.601,0.8133,1918.23,353.22,667.4,1470.1,298.3,949.02
41.00,298.33,39.931,7.801,-7.786,3.596,0.8134,1918.55,353.34,670.3,1472.9,298.3,948.94
41.10,298.33,39.929,7.803,-7.788,3.591,0.8134,1918.82,353.44,673.2,1475.6,298.3,948.87
41.20,298.33,39.928,7.804,-7.790,3.586,0.8135,1919.04,353.52,676.1,1478.4,298.3,948.79
41.30,298.33,39.926,7.804,-7.790,3.581,0.8136,1918.68,353.43,679.0,1481.2,298.3,948.71
41.40,298.33,39.925,7.802,-7.789,3.576,0.8136,1918.19,353.30,681.9,1483.9,298.3,948.64
41.50,298.33,39.923,7.801,-7.788,3.571,0.8137,1917.76,353.19,684.8,1486.6,298.3,948.57
41.60,298.33,39.922,7.800,-7.787,3.566,0.8137,1917.40,353.09,687.7,1489.4,298.3,948.50
41.70,298.33,39.920,7.799,-7.786,3.561,0.8138,1917.10,353.02,690.6,1492.1,298.3,948.43
41.80,298.33,39.919,7.799,-7.785,3.556,0.8138,1916.86,352.96,693.5,1494.9,298.3,948.37
41.90,298.33,39.918,7.801,-7.786,3.551,0.8139,1917.25,353.10,696.4,1497.6,298.3,948.31
42.00,298.33,39.916,7.803,-7.788,3.546,0.8140,1917.71,353.25,699.3,1500.3,298.3,948.24
42.10,298.33,39.915,7.806,-7.791,3.541,0.8140,1918.11,353.39,702.3,1503.0,298.3,948.17
42.20,298.33,39.913,7.808,-7.793,3.536,0.8141,1918.44,353.51,705.2,1505.7,298.3,948.10
42.30,298.33,39.912,7.809,-7.795,3.531,0.8141,1918.71,353.61,708.1,1508.4,298.3,948.03
42.40,298.33,39.910,7.810,-7.797,3.526,0.8142,1918.84,353.67,711.0,1511.1,298.3,947.96
42.50,298.33,39.909,7.809,-7.796,3.521,0.8143,1918.38,353.55,714.0,1513.8,298.3,947.88
42.60,298.33,39.907,7.808,-7.795,3.516,0.8143,1917.91,353.42,716.9,1516.5,298.3,947.81
42.70,298.33,39.906,7.807,-7.794,3.511,0.8144,1917.52,353.32,719.9,1519.2,298.3,947.74
42.80,298.33,39.904,7.806,-7.793,3.506,0.8144,1917.18,353.23,722.8,1521.9,298.3,947.68
42.90,298.33,39.903,7.805,-7.792,3.501,0.8145,1916.90,353.16,725.8,1524.6,298.3,947.62
43.00,298.33,39.902,7.805,-7.791,3.496,0.8145,1916.67,353.10,728.7,1527.3,298.3,947.56
43.10,298.32,39.901,7.806,-7.792,3.491,0.8146,1916.95,353.20,731.7,1529.9,298.3,947.50
43.20,298.32,39.899,7.809,-7.794,3.486,0.8146,1917.44,353.37,734.7,1532.6,298.3,947.44
43.30,298.32,39.898,7.811,-7.796,3.482,0.8147,1917.86,353.51,737.6,1535.3,298.3,947.38
43.40,298.32,39.897,7.813,-7.799,3.477,0.8147,1918.22,353.64,740.6,1537.9,298.3,947.31
43.50,298.32,39.895,7.815,-7.801,3.472,0.8148,1918.51,353.75,743.6,1540.6,298.3,947.24
43.60,298.32,39.894,7.816,-7.803,3.467,0.8149,1918.66,353.81,746.6,1543.2,298.3,947.17
43.70,298.32,39.892,7.815,-7.802,3.462,0.8149,1918.21,353.69,749.6,1545.9,298.3,947.10
43.80,298.32,39.891,7.814,-7.802,3.457,0.8150,1917.76,353.56,752.6,1548.5,298.3,947.04
43.90,298.32,39.890,7.813,-7.801,3.452,0.8150,1917.36,353.46,755.5,1551.2,298.3,946.97
44.00,298.32,39.888,7.812,-7.800,3.447,0.8151,1917.03,353.37,758.5,1553.8,298.3,946.91
44.10,298.32,39.887,7.811,-7.799,3.442,0.8151,1916.76,353.30,761.5,1556.4,298.3,946.85
44.20,298.32,39.886,7.811,-7.798,3.438,0.8152,1916.53,353.25,764.6,1559.0,298.3,946.80
44.30,298.32,39.885,7.812,-7.798,3.433,0.8152,1916.68,353.31,767.6,1561.7,298.3,946.74
44.40,298.32,39.884,7.814,-7.800,3.428,0.8153,1917.19,353.48,770.6,1564.3,298.3,946.69
44.50,298.32,39.882,7.816,-7.802,3.423,0.8153,1917.63,353.63,773.6,1566.9,298.3,946.63
44.60,298.32,39.881,7.818,-7.805,3.418,0.8154,1918.01,353.76,776.6,1569.5,298.3,946.56
44.70,298.32,39.880,7.820,-7.807,3.413,0.8154,1918.32,353.87,779.6,1572.1,298.3,946.50
44.80,298.32,39.878,7.821,-7.809,3.409,0.8155,1918.43,353.92,782.7,1574.7,298.3,946.43
44.90,298.32,39.877,7.820,-7.808,3.404,0.8155,1917.98,353.80,785.7,1577.3,298.3,946.37
45.00,298.32,39.875,7.819,-7.807,3.399,0.8156,1917.55,353.68,788.7,1579.9,298.3,946.30
45.10,298.32,39.874,7.818,-7.806,3.394,0.8156,1917.18,353.58,791.8,1582.5,298.3,946.24
45.20,298.32,39.873,7.817,-7.805,3.389,0.8157,1916.87,353.50,794.8,1585.0,298.3,946.19
45.30,298.32,39.872,7.816,-7.804,3.385,0.8157,1916.61,353.44,797.8,1587.6,298.3,946.13
45.40,298.32,39.871,7.816,-7.803,3.380,0.8158,1916.39,353.38,800.9,1590.2,298.3,946.08
45.50,298.32,39.870,7.816,-7.803,3.375,0.8158,1916.43,353.41,803.9,1592.7,298.3,946.03
45.60,298.32,39.869,7.819,-7.805,3.370,0.8158,1916.94,353.58,807.0,1595.3,298.3,945.97
45.70,298.32,39.867,7.821,-7.808,3.365,0.8159,1917.41,353.74,810.1,1597.9,298.3,945.92
45.80,298.32,39.866,7.824,-7.810,3.361,0.8159,1917.81,353.87,813.1,1600.4,298.3,945.86
45.90,298.32,39.865,7.825,-7.812,3.356,0.8160,1918.15,353.99,816.2,1603.0,298.3,945.80
46.00,298.32,39.864,7.826,-7.814,3.351,0.8161,1918.27,354.05,819.3,1605.5,298.3,945.74
46.10,298.32,39.862,7.825,-7.814,3.346,0.8161,1917.84,353.93,822.3,1608.0,298.3,945.67
46.20,298.32,39.861,7.824,-7.813,3.342,0.8162,1917.42,353.81,825.4,1610.6,298.3,945.61
46.30,298.32,39.860,7.823,-7.812,3.337,0.8162,1917.06,353.72,828.5,1613.1,298.3,945.55
46.40,298.32,39.859,7.822,-7.811,3.332,0.8162,1916.75,353.64,831.6,1615.6,298.3,945.50
46.50,298.32,39.857,7.822,-7.810,3.327,0.8163,1916.49,353.57,834.7,1618.1,298.3,945.45
46.60,298.32,39.856,7.821,-7.809,3.323,0.8163,1916.28,353.52,837.8,1620.7,298.3,945.40
46.70,298.32,39.855,7.821,-7.808,3.318,0.8164,1916.12,353.48,840.8,1623.2,298.3,945.35
46.80,298.32,39.854,7.823,-7.810,3.313,0.8164,1916.57,353.63,843.9,1625.7,298.3,945.30
46.90,298.32,39.853,7.826,-7.812,3.309,0.8165,1917.08,353.80,847.0,1628.2,298.3,945.25
47.00,298.32,39.852,7.828,-7.815,3.304,0.8165,1917.52,353.95,850.2,1630.7,298.3,945.20
47.10,298.32,39.851,7.830,-7.817,3.299,0.8166,1917.89,354.08,853.3,1633.2,298.3,945.14
47.20,298.32,39.850,7.831,-7.819,3.294,0.8166,1918.10,354.15,856.4,1635.7,298.3,945.08
47.30,298.32,39.848,7.830,-7.819,3.290,0.8167,1917.70,354.05,859.5,1638.2,298.3,945.02
47.40,298.32,39.847,7.829,-7.818,3.285,0.8167,1917.29,353.94,862.6,1640.6,298.3,944.96
47.50,298.32,39.846,7.828,-7.817,3.280,0.8167,1916.94,353.84,865.7,1643.1,298.3,944.91
47.60,298.32,39.845,7.827,-7.816,3.276,0.8168,1916.64,353.76,868.9,1645.6,298.3,944.86
47.70,298.32,39.844,7.826,-7.815,3.271,0.8168,1916.39,353.70,872.0,1648.1,298.3,944.81
47.80,298.32,39.843,7.826,-7.814,3.267,0.8169,1916.18,353.64,875.1,1650.5,298.3,944.76
47.90,298.32,39.842,7.826,-7.814,3.262,0.8169,1916.01,353.61,878.2,1653.0,298.3,944.71
48.00,298.32,39.841,7.827,-7.814,3.257,0.8169,1916.28,353.70,881.4,1655.4,298.3,944.67
48.10,298.32,39.840,7.830,-7.817,3.253,0.8170,1916.81,353.87,884.5,1657.9,298.3,944.62
48.20,298.32,39.839,7.832,-7.819,3.248,0.8170,1917.28,354.03,887.7,1660.3,298.3,944.57
48.30,298.32,39.838,7.834,-7.822,3.243,0.8171,1917.67,354.16,890.8,1662.8,298.3,944.52
48.40,298.32,39.837,7.836,-7.824,3.239,0.8171,1917.95,354.26,894.0,1665.2,298.3,944.46
48.50,298.32,39.835,7.835,-7.824,3.234,0.8172,1917.59,354.17,897.1,1667.6,298.3,944.41
48.60,298.32,39.834,7.833,-7.823,3.230,0.8172,1917.19,354.06,900.3,1670.1,298.3,944.35
48.70,298.32,39.833,7.832,-7.822,3.225,0.8173,1916.85,353.96,903.4,1672.5,298.3,944.30
48.80,298.32,39.832,7.832,-7.821,3.220,0.8173,1916.55,353.89,906.6,1674.9,298.3,944.25
48.90,298.32,39.831,7.831,-7.820,3.216,0.8173,1916.30,353.82,909.8,1677.3,298.3,944.20
49.00,298.32,39.830,7.831,-7.820,3.211,0.8174,1916.09,353.77,912.9,1679.7,298.3,944.16
49.10,298.32,39.829,7.830,-7.819,3.207,0.8174,1915.93,353.73,916.1,1682.1,298.3,944.11
49.20,298.32,39.828,7.831,-7.819,3.202,0.8174,1915.94,353.74,919.3,1684.5,298.3,944.07
49.30,298.32,39.828,7.833,-7.821,3.198,0.8175,1916.48,353.92,922.5,1686.9,298.3,944.03
49.40,298.32,39.827,7.836,-7.823,3.193,0.8175,1916.98,354.09,925.7,1689.3,298.3,943.98
49.50,298.32,39.826,7.838,-7.826,3.188,0.8176,1917.41,354.23,928.8,1691.7,298.3,943.93
49.60,298.32,39.824,7.840,-7.828,3.184,0.8176,1917.77,354.35,932.0,1694.1,298.3,943.88
49.70,298.32,39.823,7.839,-7.828,3.179,0.8177,1917.52,354.29,935.2,1696.5,298.3,943.83
49.80,298.32,39.822,7.838,-7.828,3.175,0.8177,1917.13,354.18,938.4,1698.9,298.3,943.77
49.90,298.32,39.821,7.837,-7.827,3.170,0.8177,1916.78,354.09,941.6,1701.2,298.3,943.73
50.00,298.32,39.820,7.836,-7.826,3.166,0.8178,1916.48,354.01,944.8,1703.6,298.3,943.68
50.10,298.32,39.819,7.836,-7.825,3.161,0.8178,1916.23,353.94,948.0,1706.0,298.3,943.63
50.20,298.32,39.818,7.835,-7.825,3.157,0.8178,1916.02,353.89,951.2,1708.3,298.3,943.59
50.30,298.32,39.817,7.835,-7.824,3.152,0.8179,1915.85,353.85,954.4,1710.7,298.3,943.55
50.40,298.32,39.817,7.834,-7.823,3.148,0.8179,1915.71,353.81,957.7,1713.0,298.3,943.51
50.50,298.32,39.816,7.836,-7.824,3.143,0.8179,1915.94,353.89,960.9,1715.4,298.3,943.47
50.60,298.32,39.815,7.838,-7.826,3.139,0.8180,1916.50,354.07,964.1,1717.7,298.3,943.43
50.70,298.32,39.814,7.841,-7.829,3.134,0.8180,1916.99,354.24,967.3,1720.1,298.3,943.39
50.80,298.31,39.813,7.843,-7.831,3.130,0.8181,1917.40,354.38,970.6,1722.4,298.3,943.34
50.90,298.31,39.812,7.844,-7.833,3.125,0.8181,1917.60,354.45,973.8,1724.7,298.3,943.29
51.00,298.31,39.811,7.843,-7.833,3.121,0.8182,1917.23,354.35,977.0,1727.0,298.3,943.24
51.10,298.31,39.810,7.842,-7.832,3.116,0.8182,1916.86,354.25,980.3,1729.4,298.3,943.19
51.20,298.31,39.809,7.841,-7.831,3.112,0.8182,1916.54,354.16,983.5,1731.7,298.3,943.14
51.30,298.31,39.808,7.840,-7.831,3.108,0.8183,1916.27,354.09,986.7,1734.0,298.3,943.10
51.40,298.31,39.807,7.840,-7.830,3.103,0.8183,1916.04,354.03,990.0,1736.3,298.3,943.05
51.50,298.31,39.806,7.839,-7.829,3.099,0.8183,1915.85,353.98,993.2,1738.6,298.3,943.01
51.60,298.31,39.805,7.839,-7.828,3.094,0.8184,1915.69,353.94,996.5,1740.9,298.3,942.98
51.70,298.31,39.805,7.839,-7.828,3.090,0.8184,1915.57,353.91,999.7,1743.2,298.3,942.94
51.80,298.31,39.804,7.840,-7.828,3.085,0.8184,1915.80,353.99,1003.0,1745.5,298.3,942.90
51.90,298.31,39.803,7.842,-7.831,3.081,0.8184,1916.38,354.18,1006.2,1747.8,298.3,942.87
52.00,298.31,39.802,7.845,-7.833,3.077,0.8185,1916.88,354.34,1009.5,1750.0,298.3,942.82
52.10,298.31,39.801,7.847,-7.836,3.072,0.8185,1917.30,354.48,1012.8,1752.3,298.3,942.78
52.20,298.31,39.800,7.847,-7.837,3.068,0.8186,1917.31,354.50,1016.0,1754.6,298.3,942.73
52.30,298.31,39.799,7.846,-7.837,3.063,0.8186,1916.95,354.40,1019.3,1756.9,298.3,942.68
52.40,298.31,39.798,7.845,-7.836,3.059,0.8186,1916.61,354.31,1022.6,1759.1,298.3,942.64
52.50,298.31,39.797,7.845,-7.835,3.055,0.8187,1916.32,354.23,1025.9,1761.4,298.3,942.59
52.60,298.31,39.796,7.844,-7.835,3.050,0.8187,1916.07,354.16,1029.1,1763.6,298.3,942.55
52.70,298.31,39.796,7.843,-7.834,3.046,0.8187,1915.87,354.11,1032.4,1765.9,298.3,942.52
52.80,298.31,39.795,7.843,-7.833,3.042,0.8188,1915.70,354.06,1035.7,1768.1,298.3,942.48
52.90,298.31,39.794,7.843,-7.832,3.037,0.8188,1915.56,354.03,1039.0,1770.4,298.3,942.44
53.00,298.31,39.793,7.842,-7.832,3.033,0.8188,1915.45,354.01,1042.3,1772.6,298.3,942.41
53.10,298.31,39.793,7.844,-7.833,3.029,0.8189,1915.76,354.11,1045.6,1774.8,298.3,942.37
53.20,298.31,39.792,7.847,-7.835,3.024,0.8189,1916.33,354.30,1048.9,1777.1,298.3,942.34
53.30,298.31,39.791,7.849,-7.838,3.020,0.8189,1916.83,354.46,1052.2,1779.3,298.3,942.30
53.40,298.31,39.790,7.851,-7.840,3.016,0.8190,1917.24,354.60,1055.5,1781.5,298.3,942.25
53.50,298.31,39.789,7.851,-7.841,3.011,0.8190,1917.05,354.55,1058.8,1783.7,298.3,942.21
53.60,298.31,39.788,7.850,-7.840,3.007,0.8190,1916.70,354.45,1062.1,1785.9,298.3,942.17
53.70,298.31,39.787,7.849,-7.840,3.003,0.8191,1916.39,354.37,1065.4,1788.1,298.3,942.12
53.80,298.31,39.786,7.848,-7.839,2.998,0.8191,1916.13,354.30,1068.7,1790.3,298.3,942.08
53.90,298.31,39.786,7.847,-7.838,2.994,0.8191,1915.90,354.24,1072.0,1792.5,298.3,942.05
54.00,298.31,39.785,7.847,-7.838,2.990,0.8192,1915.71,354.19,1075.3,1794.7,298.3,942.01
54.10,298.31,39.784,7.847,-7.837,2.985,0.8192,1915.55,354.15,1078.7,1796.9,298.3,941.98
54.20,298.31,39.783,7.846,-7.836,2.981,0.8192,1915.43,354.12,1082.0,1799.1,298.3,941.94
54.30,298.31,39.783,7.846,-7.836,2.977,0.8192,1915.33,354.09,1085.3,1801.3,298.3,941.91
54.40,298.31,39.782,7.847,-7.837,2.973,0.8193,1915.58,354.18,1088.6,1803.5,298.3,941.88
54.50,298.31,39.781,7.850,-7.839,2.968,0.8193,1916.17,354.37,1092.0,1805.7,298.3,941.85
54.60,298.31,39.781,7.853,-7.842,2.964,0.8193,1916.68,354.53,1095.3,1807.8,298.3,941.81
54.70,298.31,39.780,7.855,-7.844,2.960,0.8194,1917.10,354.68,1098.6,1810.0,298.3,941.77
54.80,298.31,39.779,7.854,-7.845,2.956,0.8194,1916.93,354.63,1102.0,1812.1,298.3,941.72
54.90,298.31,39.778,7.853,-7.844,2.951,0.8194,1916.59,354.54,1105.3,1814.3,298.3,941.68
55.00,298.31,39.777,7.852,-7.844,2.947,0.8195,1916.29,354.46,1108.7,1816.5,298.3,941.64
55.10,298.31,39.776,7.852,-7.843,2.943,0.8195,1916.02,354.38,1112.0,1818.6,298.3,941.61
55.20,298.31,39.776,7.851,-7.842,2.939,0.8195,1915.80,354.32,1115.4,1820.7,298.3,941.57
55.30,298.31,39.775,7.850,-7.842,2.934,0.8196,1915.62,354.28,1118.7,1822.9,298.3,941.54
55.40,298.31,39.774,7.850,-7.841,2.930,0.8196,1915.46,354.24,1122.1,1825.0,298.3,941.50
55.50,298.31,39.774,7.850,-7.840,2.926,0.8196,1915.34,354.21,1125.4,1827.2,298.3,941.47
55.60,298.31,39.773,7.850,-7.840,2.922,0.8196,1915.24,354.18,1128.8,1829.3,298.3,941.44
55.70,298.31,39.772,7.850,-7.839,2.918,0.8197,1915.21,354.18,1132.2,1831.4,298.3,941.41
55.80,298.31,39.772,7.852,-7.842,2.913,0.8197,1915.77,354.36,1135.5,1833.5,298.3,941.38
55.90,298.31,39.771,7.855,-7.844,2.909,0.8197,1916.33,354.54,1138.9,1835.6,298.3,941.35
56.00,298.31,39.770,7.857,-7.847,2.905,0.8198,1916.80,354.70,1142.3,1837.7,298.3,941.31
56.10,298.31,39.769,7.858,-7.848,2.901,0.8198,1916.86,354.73,1145.6,1839.9,298.3,941.27
56.20,298.31,39.768,7.857,-7.848,2.897,0.8198,1916.54,354.64,1149.0,1842.0,298.3,941.23
56.30,298.31,39.768,7.856,-7.847,2.893,0.8199,1916.24,354.55,1152.4,1844.1,298.3,941.19
56.40,298.31,39.767,7.855,-7.847,2.888,0.8199,1915.98,354.48,1155.8,1846.1,298.3,941.16
56.50,298.31,39.766,7.854,-7.846,2.884,0.8199,1915.76,354.42,1159.2,1848.2,298.3,941.12
56.60,298.31,39.766,7.854,-7.846,2.880,0.8199,1915.57,354.37,1162.5,1850.3,298.3,941.09
56.70,298.31,39.765,7.854,-7.845,2.876,0.8200,1915.41,354.33,1165.9,1852.4,298.3,941.06
56.80,298.31,39.764,7.853,-7.844,2.872,0.8200,1915.28,354.30,1169.3,1854.5,298.3,941.03
56.90,298.31,39.764,7.853,-7.844,2.868,0.8200,1915.18,354.27,1172.7,1856.6,298.3,941.00
57.00,298.31,39.763,7.853,-7.843,2.864,0.8200,1915.10,354.26,1176.1,1858.6,298.3,940.98
57.10,298.31,39.763,7.854,-7.844,2.859,0.8200,1915.24,354.31,1179.5,1860.7,298.3,940.95
57.20,298.31,39.762,7.857,-7.846,2.855,0.8201,1915.84,354.50,1182.9,1862.7,298.3,940.92
57.30,298.31,39.761,7.859,-7.849,2.851,0.8201,1916.38,354.67,1186.3,1864.8,298.3,940.89
57.40,298.31,39.760,7.861,-7.851,2.847,0.8201,1916.82,354.82,1189.7,1866.9,298.3,940.85
57.50,298.31,39.760,7.861,-7.852,2.843,0.8202,1916.62,354.76,1193.1,1868.9,298.3,940.81
57.60,298.31,39.759,7.860,-7.851,2.839,0.8202,1916.30,354.68,1196.5,1870.9,298.3,940.78
57.70,298.31,39.758,7.859,-7.851,2.835,0.8202,1916.03,354.60,1200.0,1873.0,298.3,940.74
57.80,298.31,39.757,7.858,-7.850,2.831,0.8203,1915.79,354.54,1203.4,1875.0,298.3,940.71
57.90,298.31,39.757,7.857,-7.850,2.827,0.8203,1915.58,354.48,1206.8,1877.1,298.3,940.68
58.00,298.31,39.756,7.857,-7.849,2.823,0.8203,1915.41,354.43,1210.2,1879.1,298.3,940.65
58.10,298.31,39.756,7.857,-7.849,2.819,0.8203,1915.27,354.40,1213.6,1881.1,298.3,940.62
58.20,298.31,39.755,7.856,-7.848,2.815,0.8203,1915.15,354.37,1217.1,1883.1,298.3,940.59
58.30,298.31,39.754,7.856,-7.847,2.811,0.8204,1915.06,354.35,1220.5,1885.1,298.3,940.57
58.40,298.31,39.754,7.856,-7.847,2.806,0.8204,1914.99,354.33,1223.9,1887.1,298.3,940.54
58.50,298.31,39.753,7.857,-7.847,2.802,0.8204,1915.02,354.35,1227.3,1889.2,298.3,940.52
58.60,298.31,39.753,7.859,-7.849,2.798,0.8204,1915.62,354.54,1230.8,1891.2,298.3,940.49
58.70,298.31,39.752,7.862,-7.852,2.794,0.8205,1916.18,354.72,1234.2,1893.2,298.3,940.46
58.80,298.31,39.751,7.864,-7.855,2.790,0.8205,1916.65,354.87,1237.7,1895.1,298.3,940.43
58.90,298.31,39.751,7.863,-7.855,2.786,0.8205,1916.46,354.82,1241.1,1897.1,298.3,940.39
59.00,298.31,39.750,7.863,-7.854,2.782,0.8206,1916.16,354.74,1244.5,1899.1,298.3,940.36
59.10,298.31,39.749,7.862,-7.854,2.778,0.8206,1915.90,354.67,1248.0,1901.1,298.3,940.32
59.20,298.31,39.749,7.861,-7.853,2.774,0.8206,1915.67,354.60,1251.4,1903.1,298.3,940.29
59.30,298.31,39.748,7.860,-7.853,2.770,0.8206,1915.48,354.55,1254.9,1905.1,298.3,940.26
59.40,298.31,39.747,7.860,-7.852,2.766,0.8206,1915.31,354.51,1258.3,1907.0,298.3,940.24
59.50,298.31,39.747,7.860,-7.852,2.762,0.8207,1915.18,354.47,1261.8,1909.0,298.3,940.21
59.60,298.31,39.746,7.859,-7.851,2.758,0.8207,1915.07,354.44,1265.3,1910.9,298.3,940.18
59.70,298.31,39.746,7.859,-7.851,2.754,0.8207,1914.98,354.42,1268.7,1912.9,298.3,940.16
59.80,298.31,39.745,7.859,-7.850,2.750,0.8207,1914.91,354.41,1272.2,1914.9,298.3,940.13
59.90,298.31,39.745,7.859,-7.850,2.746,0.8207,1914.86,354.40,1275.6,1916.8,298.3,940.11
